year,wgt,Lli_ty,L_rli_ty,income,networth,debt,rent,age,educ,origin_Lli_ty,origin_L_rli_ty,origin_income,origin_networth,origin_debt,origin_educ,origin_rent,origin_age,Nn,hbus,mis
2004,412.3426315029656,.3908865235842482,.5992606145557482,.6410530204154672,.8637139153058991,.8173605258069955,0,.3506493506493507,.9657587234632681,-5.27517503815424,-.3970318550889692,14.38549194789473,15.92574142013866,14.3413588352289,2.6390574,0,45,1,1,0
2004,472.7950479498539,.4096874646417728,.6032738854313224,.5230414663738824,.852183833252783,0,0,.4415584415584415,.9657587234632681,-4.903378726114155,-.3797082921819664,12.9425040716629,15.53532945311543,0,2.6390574,0,52,2,1,0
2004,29.49535327608832,.3639024757142585,.602161121378919,.7328099640165073,.9310180760666481,0,0,.4935064935064935,.9289787289631334,-5.808795639978318,-.3845116156206579,15.50745121918551,18.20468008426991,0,2.5649493,0,56,3,1,0
2004,885.533723941035,.4060937919587415,.5900585678411129,.427083241953962,.8059556804614501,.6676244319590473,0,.5454545454545454,.8892534429772352,-4.974445075726239,-.4367531298487617,11.76917358222722,13.97003061309222,11.71409830005839,2.4849067,0,60,4,1,0
2004,4609.218898258591,.1499618962843393,.1748047086970366,.3582583769416743,.7082247570905847,.6152762436682552,0,.2727272727272727,.7464763233636835,-10.03955824831745,-2.229225298881848,10.92761661263569,10.66083282452099,10.79560012336806,2.1972246,0,39,5,0,0
2004,216.2072360746504,.465909807927723,.6194119234971733,.5370384150487391,.8143834070582899,0,.824531252415469,.7532467532467533,.621748476769222,-3.791558853693352,-.310047328270737,13.113651951259,14.25539591258001,0,1.9459101,7.905576625582046,76,6,1,0
2004,659.1921830013264,.4319050823762091,.5979599292886202,.4675610440627047,.7851630256037649,.6768236226023638,0,.5844155844155844,.7464763233636835,-4.464016232997152,-.4026463535232613,12.2641164560313,13.2659852086252,11.87550674815934,2.1972246,0,63,7,1,0
2004,23.1599325597331,.4515692965125595,.6266416215418671,.6988279653580395,.8887920470577253,.5921680567681377,0,.5064935064935064,1,-4.075148342145721,-.278839833745972,15.09193587009506,16.77489433174802,10.39014525993564,2.7080503,0,57,9,1,0
2004,7375.128298603401,.4963687811755435,.6213691494981453,.3966960277332918,.7505503262750075,.6319088603651207,0,.4675324675324675,.7987669320832893,-3.189220178867555,-.3015988260882858,11.39761350856329,12.09398903664028,11.08743501982707,2.3025851,0,54,10,0,0
2004,1394.318727950091,.3303422984557999,.5833016728790722,.5608295719947176,.9066200172494885,.6555664824974773,0,.7272727272727273,.9289787289631334,-6.472461894658303,-.4659197369779576,13.4045586452127,17.3785546421026,11.50253024093944,2.5649493,0,74,11,1,0
2004,6794.060750636889,.4478639731913805,.5935199033002541,.3449673868958429,.6995836117957549,.680012500311053,0,.1948051948051948,.9657587234632681,-4.148422628869742,-.421812034560722,10.76510085174253,10.36824110519525,11.93145860545857,2.6390574,0,33,12,0,0
2004,27.85897994802588,.6310840735371112,.684404921556346,.6666909227401597,.9453478504130768,.8047341220942633,0,.7012987012987013,.9657587234632681,-.5251700804078832,-.0295005310821085,14.69897974599212,18.68989045517758,14.11981671186299,2.6390574,0,72,13,0,0
2004,11972.96970471451,.1004467993214716,.0362938145038601,.3164826184116072,.7388503625889066,.4240627651247637,0,.7272727272727273,.7464763233636835,-11.01873957678258,-2.827117208811127,10.41680295910112,11.69782482759577,7.440579880352204,2.1972246,0,74,14,0,0
2004,5908.886327978522,.4987605382423788,.6303243723649056,.4001979274949026,.7936827347044789,.6668867334669115,0,.4285714285714285,.7987669320832893,-3.141922202983031,-.2629429836374943,11.44043303535304,13.55446506272793,11.70115468649511,2.3025851,0,51,16,0,0
2004,5008.079850944265,.4393759953673934,.5847384966961754,.3641728589473885,.686429028760713,.6663206606997927,0,.1558441558441558,.9289787289631334,-4.316275867810325,-.459717587022579,10.9999360215084,9.922823057481244,11.69122240762455,2.5649493,0,30,17,0,0
2004,6391.081411866356,.6517481623587477,.6887493865313296,.3198210565440134,.7219418527839674,.6029532697279439,0,.7272727272727273,.7464763233636835,-.1165292580125426,-.0107473458063637,10.45762375660468,11.12529771616954,10.57938196061706,2.1972246,0,74,18,0,0
2004,309.0525049165632,.2468298202750588,.533284866310561,.559478906780234,.8772136089517355,.7698852639075557,0,.7402597402597403,.9657587234632681,-8.12395536522056,-.6818207618179493,13.38804336799958,16.38284501456257,13.50836073316848,2.6390574,0,75,19,1,0
2004,5715.769178573169,.2977051854633569,.5103676195813532,.3656803932910078,.7753144430013483,.6671804125574902,0,.2857142857142857,.9657587234632681,-7.117874175304192,-.7807446515023001,11.01836941812378,12.93250930719732,11.70630756223037,2.6390574,0,40,20,0,0
2004,12421.15880247919,.2869089184076031,.4799999651004688,.3731688952127468,.7557249263828223,.3692949502945266,0,.7662337662337663,.7987669320832893,-7.331374779494567,-.9118287445146953,11.10993517684941,12.26920251711197,6.479627081308823,2.3025851,0,77,21,0,0
2004,7603.557974510096,.4842773926867367,.6141989226967818,.3731688952127468,.7446011817848226,.635015168170883,0,.4285714285714285,.8724280911538784,-3.428332339999675,-.3325496088542561,11.10993517684941,11.89254925574203,11.14193811055454,2.4510052,0,51,22,0,0
2004,19.13712684225644,.379644479593392,.6058160694221414,.7144557517841564,.9184519795715653,.8455737872018588,0,.5714285714285714,.9289787289631334,-5.497491063868277,-.3687347781452832,15.28302484039436,17.77918836375581,14.83638703001034,2.5649493,0,62,23,1,0
