year,wgt,Lli_ty,L_rli_ty,income,networth,debt,rent,age,origin_Lli_ty,origin_L_rli_ty,origin_income,origin_networth,origin_debt,origin_rent,origin_age,Nn,hbus,mis
2016,6424.741871110329,.3421692866225585,.5759397450027597,.198049205046569,.7460288260105209,.3186330079120725,0,.6842105263157895,-6.345229594287262,-.7416401660844292,9.547224711480746,12.14423219795965,5.983051620341171,0,71,1,0,0
2016,5015.3628029591,.580484836271151,.7306473812264204,.3738900896824857,.7585490630062599,.6172493158061377,0,.1447368421052632,-1.617858903290849,-.1368706861467485,11.73924446229445,12.59297633575109,11.59024466199526,0,30,3,0,0
2016,5716.613987498831,.4156232281983606,.6376111761093133,.2921192967744146,.7046815509120153,.6561646134219463,0,.1842105263157895,-4.888152995401298,-.5005596336186451,10.71989567168005,10.66228362778332,12.32096693079603,0,33,4,0,0
2016,5772.981783854416,.4856373451264391,.6851050992742893,.3715120495233825,.7567545309460246,.6424340499854698,0,.2894736842105263,-3.499310828745184,-.3149005678233529,11.70959998565425,12.52865760581144,12.06314470969244,0,41,5,0,0
2016,2577.004823392931,.5005281904918929,.6959476686668398,.3238769358369248,.7800625120007149,.6108034408953833,0,.131578947368421,-3.203927056898967,-.2725157495119855,11.11578410347662,13.36405072701239,11.46920885788312,0,29,7,1,0
2016,5997.171570928355,.7699537687769196,.8313833515174619,.2195676346068395,.6798307442883595,0,.5902242588480526,.0263157894736842,2.140560888044147,.2569175058973466,9.815471898136289,9.77159331612633,0,5.851410825179155,21,9,0,0
2016,5062.905217774494,.4487280454538548,.6519290700328542,.2921192967744146,.6675192669463563,.6238575456284504,0,.3815789473684211,-4.231465913693119,-.444589382418993,10.71989567168005,9.330331438523194,11.71432904485645,0,48,10,0,0
2016,5795.527946046799,.441299024847662,.6590977461040733,.3254351990165205,.7462758484348693,.6535940237676944,0,.5657894736842105,-4.37883243815327,-.4165662246405025,11.1352092995777,12.15308585343495,12.27269832643239,0,62,11,0,0
2016,5374.767790369964,.2295600254697223,.1022031753731342,.1214085219335755,.6658936771043519,0,0,.2368421052631579,-8.579014680882104,-2.593529483481632,8.591827498555091,9.272067851955219,0,0,37,13,0,0
2016,2349.092802939191,.4926740405338295,.6972714974487956,.3731979540996808,.808047460307967,0,.7412305810436004,.3421052631578947,-3.359726703078951,-.2673407545115286,11.73061635017542,14.36707339371987,0,7.348468960488693,45,14,0,0
2016,4038.36266517079,.5022090045570576,.6951172199969408,.3580984065242473,.7765332968849425,.4860699407209119,0,.6447368421052632,-3.17058541737779,-.2757620663872797,11.54238648212037,13.23755834553857,9.127056752487828,0,68,15,0,0
2016,497.5823326179834,.4966091833129602,.7056208955498079,.5827146023000949,.8451023244332423,.65592676271432,0,.3421052631578947,-3.281666842249981,-.2347020220572249,14.34243573410604,15.695175494226,12.31650074861676,0,45,16,1,0
2016,2404.29757867528,.5017244174333348,.7091741378403976,.4797166919862672,.8559611167766062,.620513053138174,0,.5921052631578947,-3.180197979249223,-.220811999918525,13.05847123308616,16.0843709550817,11.6515286735318,0,64,18,0,0
2016,2058.220994336463,.6129178484247684,.7451608685075937,.2838372058747483,.7694202790155443,0,.6816060308487439,.9736842105263158,-.9744981519600062,-.0801358386022611,10.61665172549715,12.98261707949189,0,6.757358491499246,93,19,0,0
2016,28.22687567980726,.4932471790165227,.7111554595833438,.6475517262830208,.8950842081279782,0,0,.5526315789473685,-3.348357583149677,-.213066791282938,15.1506906325661,17.48660143220301,0,0,61,20,1,0
2016,4617.731599316045,.575952643021206,.7155176894654079,.2865849077873585,.6958851769503833,0,.7439551972187095,.4736842105263158,-1.707762216638694,-.1960143460285192,10.65090437882212,10.34700834581805,0,7.375480470677392,55,21,0,0
2016,4938.31492762183,.6354543332288181,.7565159727615741,.4203800141141877,.8392108121796233,0,0,.868421052631579,-.5274508741057202,-.0357474641047671,12.31878449804398,15.48401482790334,0,0,85,22,1,0
2016,6861.514547245907,.460318227864887,.6694267462855871,.3942336195839061,.7545863803375794,.6167330358618041,0,.3815789473684211,-4.001556078963459,-.3761890059037399,11.99284543477315,12.45094782478094,11.58055034445504,0,48,24,0,0
2016,4274.618550110258,.5686057394956756,.6970456237614326,.2612950728990326,.658987217204499,.3891162111827914,.6428624899730691,.1052631578947368,-1.853499817258478,-.2682237200572026,10.33564312610033,9.024529934421759,7.306532342878496,6.373259784800615,27,26,0,0
2016,4577.108862311872,.2879581610165732,.5035183948261147,.2387774639036933,.6764093885714182,.6114503944082399,0,.5526315789473685,-7.420594112857499,-1.024743336372645,10.05494024086926,9.648966777842817,11.48135686567663,0,61,27,0,0
2016,26.76219310791384,.4237989516709781,.6911984598575959,.7224581841693768,.9295823459652164,0,0,.7236842105263158,-4.725974423423374,-.2910809387411042,16.08446911923808,18.72306661448751,0,0,74,28,1,0
2016,5614.981133330172,.5585902052576155,.7194449236663429,.35145348051864,.7461661211926687,.6158792230534087,0,.3026315789473684,-2.052173983008433,-.1806623476186972,11.45955131510477,12.14915306392703,11.56451808797222,0,42,29,0,0
2016,7106.966879747073,.4561245286842859,.6622476222903733,.3560588592890579,.7306569758925709,.635804120308828,0,.4078947368421053,-4.084744820203642,-.4042530057874736,11.5169616337894,11.59328195398374,11.93865286324342,0,50,30,0,0
2016,3457.604463023973,.5226311808523763,.7087374523591089,.4183470830037758,.7863962636858497,.6775201066571872,0,.4210526315789473,-2.765478835758552,-.2225190523812329,12.293442125846,13.59106192016299,12.72196436430596,0,51,31,0,0
