year,wgt,Lli_ty,L_rli_ty,income,asset,debt,rent,age,origin_Lli_ty,origin_L_rli_ty,origin_income,origin_asset,origin_debt,origin_rent,origin_age,Nn,hbus,mis
1989,4151.96254184156,.5747432060998672,.709396160713168,.5961373840962894,.576729632677875,.5798708619490697,0,.3013698630136986,-2.028952279191055,-.1833858868556002,11.39936523133577,12.35993226549404,10.02021095865677,0,40,3,0,0
1989,4798.987420121798,.5066967166545026,.6555766865637003,.5198600749253613,.4768099216558546,.5342867769431371,.4657140030000255,.4520547945205479,-3.317912097704608,-.3953468735456535,9.940787176511948,10.66204376965569,9.23251463161334,4.60963678712455,51,4,0,0
1989,6110.246055843651,.4177724205231304,.5913519575439287,.5505976497904096,.4699881688513458,.5922693061273778,.4657140030000255,.136986301369863,-5.00234645335155,-.6482876008207962,10.52855243257516,10.54612494353262,10.23445698200099,4.60963678712455,28,5,0,0
1989,5799.424009745962,.5603930889018373,.6829315074118277,.4931477886269428,.396666430331361,0,0,.1917808219178082,-2.300777094989556,-.2876134757499768,9.429993665144954,9.300203242452898,0,0,32,6,0,0
1989,5799.424009745962,.510223202565752,.6596973341890675,.5248441551440248,.4637947773451962,.5432388437891464,0,.2054794520547945,-3.251112198441555,-.3791182397606184,10.03609297727288,10.44088356441978,9.387207002275844,0,33,7,0,0
1989,8264.833025799631,.4658117549244828,.637776139290306,.5410633026537089,.5029029659434781,.4735760999244758,0,.4657534246575342,-4.092368991528246,-.4654520097127803,10.3462362280339,11.10543055754975,8.183429686863535,0,52,8,0,0
1989,8801.96547279998,.1227310289187166,.0475647939793593,.5198600749253613,.5190356003613378,.4396893050967737,0,.6027397260273972,-10.59112115247481,-2.789922493395673,9.940787176511948,11.3795648009886,7.597863390697206,0,62,9,0,0
1989,7533.340538646087,.5056807087183588,.6744761437971654,.5755381803941941,.5702767103764194,.6558447512559592,0,.2328767123287671,-3.33715766666275,-.3209138236799785,11.00546635376271,12.2502808020529,11.33304532947834,0,35,12,0,0
1989,10850.5136321061,.4748016231292441,.6570839372953484,.5882783713688384,.5697084416709449,.6898597312113398,0,.1232876712328767,-3.922079840917856,-.389410762921789,11.24908484492159,12.240624480115,11.920826674038,0,27,13,0,0
1989,3678.02972203884,.6269041440946631,.7255940561596853,.5198600749253613,.4316577450328559,.5468466734324788,.5760346039917031,.3424657534246575,-1.040901995932114,-.1195925860958951,9.940787176511948,9.894794140267191,9.449550562715446,5.701589997534885,43,14,0,0
1989,7169.311356905391,.280855873913985,.1258912650248206,.5081912643020169,.3610001873777269,.4334797434032229,0,.0684931506849315,-7.595866391077722,-2.481443892496706,9.717655667468208,8.694143607358425,7.490561709903943,0,23,16,0,0
1989,4989.445076278802,.6307816449264712,.7172537914650103,.5081912643020169,.4078214615301929,0,.5760346039917031,.5205479452054794,-.9674530522879854,-.1524396319259966,9.717655667468208,9.489755423393861,0,5.701589997534885,56,17,0,0
1989,5760.983144080737,.6110475760585377,.7076128096551562,.4692637348014497,.3182243494214023,0,0,.7123287671232876,-1.341262517462066,-.1904093826411804,8.973281739295153,7.967273979504088,0,0,70,19,0,0
1989,4682.276308898339,.4948814457313122,.6587877791980565,.556107408059517,.5260382747322097,0,0,.4383561643835616,-3.541720990550902,-.3827004035849644,10.6339102720959,11.49855794190936,0,0,50,20,0,0
1989,5408.25432532811,.6642417743611779,.7482630485488184,.5721871914636479,.5433214256492825,.0928820944575582,0,.7808219178082192,-.3336398649342365,-.0303137131599453,10.94138859631194,11.79224236927394,1.605009394019804,0,75,21,0,0
1989,8734.954550791032,.4725985950347796,.6569686920394787,.6060757392706865,.5797469449420372,.671973762224102,0,.4657534246575342,-3.963810350690901,-.3898646413464958,11.58940689531132,12.41120402888559,11.61175582014182,0,52,22,0,0
1989,6783.384452384742,.2076908208547771,.0866346326128258,.4931477886269428,.4187152321860136,.3065839912916912,0,.3561643835616438,-8.981783787866448,-2.636051024425688,9.429993665144954,9.674868127220067,5.297793820789624,0,44,23,0,0
1989,3024.289552082776,.6418560137866578,.7403035943787792,.6135592284416295,.6224377808600039,0,0,.6301369863013698,-.7576785790928685,-.0616609863553384,11.73250650379107,13.1366292572158,0,0,64,26,0,0
1989,4242.193384366886,.6183572101677951,.7161517298935938,.5198600749253613,.3977267124251664,.4482584584240708,0,.273972602739726,-1.202800934334637,-.1567799578352004,9.940787176511948,9.318220115710458,7.745938987715451,0,38,27,0,0
1989,5799.424009745962,.4718759953628167,.6320975545395173,.561091602778041,.4640336490887512,.5654011105000299,0,.1643835616438356,-3.977498080206751,-.4878163758795231,10.72921826232819,10.44494259923097,9.77017259399163,0,30,28,0,0
1989,5110.874157252771,.5454365745759432,.6610981977612671,.4931477886269428,.3638709894526961,.3680089495216388,0,.6027397260273972,-2.584088492068731,-.3736011211028455,9.429993665144954,8.742925792245298,6.359221597177556,0,62,29,0,0
1989,4267.879002934198,.3914321619990336,.608700518450262,.6060757392706865,.5884188414922076,.6924055122663864,0,.3150684931506849,-5.501292616828212,-.5799625540701255,11.58940689531132,12.55856147456905,11.96481795709778,0,41,31,0,0
1989,4031.316279349644,.3185950207317317,.1487917041049426,.5143504565995065,.3364929757712316,.3939110902106127,.55357463657811,.273972602739726,-6.880998596580899,-2.391253496923952,9.835432012992234,8.277704125837364,6.806812485107224,5.479281260068573,38,32,0,0
1989,12347.01325932681,.4831517477650538,.6473647190877062,.561091602778041,.5095030397569538,.5879808283670444,0,.0684931506849315,-3.763908931252038,-.4276886374960828,10.72921826232819,11.21758249719171,10.16035177225548,0,23,34,0,0
