year,wgt,Lli_ty,L_rli_ty,income,asset,debt,rent,age,origin_Lli_ty,origin_L_rli_ty,origin_income,origin_asset,origin_debt,origin_rent,origin_age,Nn,hbus,mis
1995,9460.571799046109,.62894995712099,.7766925088574219,.5491369998379706,.4700824901318451,0,.6241272221131969,.7435897435897436,-2.042160954192513,-.1962023744316554,10.3884441118793,11.75579302559181,0,5.995545612195381,75,1,0,0
1995,5772.660400273526,.6938519156344843,.8052952930693944,.5992149305630202,.3557071829993677,.4211219374381286,.7193560721578811,.141025641025641,-.5664612559045058,-.0855155728364879,11.33580658195369,9.756246847355241,7.69065336609559,6.910341336225291,28,2,0,0
1995,5251.593170088816,.4236671740974495,.5897413886849143,.5238688479210994,.4380840570759252,0,0,.358974358974359,-6.709751084135589,-.9196641672828209,9.910427179717846,11.19638605103903,0,0,45,4,0,0
1995,10930.45817812625,.6762120691602889,.8043311429971279,.5432577630636287,.4658299034683577,0,.6961531204345663,.7948717948717948,-.9675449322068878,-.089246632266439,10.27722209866807,11.68144792765255,0,6.68744710814839,79,5,0,0
1995,4092.391249890436,.2301833707050291,.0948475998445849,.5290777890987552,.4820833293854882,.3068453816399381,0,.2692307692307692,-11.1090634751545,-2.834799778211258,10.00896869908753,11.96559558583726,5.60370110741805,0,38,6,0,0
1995,3730.371378281236,.5285867025702979,.7276382789086421,.5970121232633995,.5714586407463346,.6715673111275774,0,.1794871794871795,-4.32415718129966,-.3860320000200478,11.29413439354151,13.52808373770109,12.26436084831577,0,31,7,1,0
1995,24.14338136655186,.356898464011967,.6884020421530004,.8149551956705323,.9289953393835486,0,0,.4743589743589743,-8.227895799410087,-.5378680423062692,15.41712998105575,19.77865614937821,0,0,54,8,1,0
1995,4750.142380392886,.5598094431445738,.7415262479589234,.6165364318378987,.5325060607279378,.6632986215614719,0,.2307692307692308,-3.614234246761348,-.3322884601102203,11.6634906534714,12.84710211272478,12.11335559403806,0,35,9,0,0
1995,5169.328588477824,.5581052287183997,.7280519765699106,.5636434424827121,.4771724605957418,.6066381185416559,0,.141025641025641,-3.65298359689075,-.3844310764661072,10.66287356886644,11.87974218647558,11.07860473084409,0,28,11,0,0
1995,649.8926124202516,.5971209057174787,.7686572783344056,.643848712235535,.5816078941485225,.6217162082929029,0,.2564102564102564,-2.765869801024756,-.2272970385063598,12.18017792561394,13.70551627415578,11.35396526514719,0,37,14,1,0
